ds,yhat,yhat_lower,yhat_upper,total_sales
2019-10-07,-3139.4943711555425,-9252.84218968757,2321.649386291764,1150.5
2019-10-08,-3556.6156117138835,-9161.19186293006,2502.9000808324427,1164.72
2019-10-09,-3300.3143032480493,-9353.977201395395,2202.005998868044,2033.4
2019-10-10,-2069.465024462016,-7751.712269703673,4005.762424279683,2700.8
2019-10-11,20.389307271653536,-5712.737444850053,5643.765763114266,2098.93
2019-10-12,2096.840605018639,-3755.2211838082494,7537.099624390283,4046.61
2019-10-13,-2070.5484256253694,-7734.646782689383,4094.658566973134,2775.8
2019-10-14,-2768.98958919118,-8669.425842959701,3224.0827764365267,2452.85
2019-10-15,-3285.3954199289137,-9416.243223721918,2500.8265205243006,1066.47
2019-10-16,-3106.10975044545,-8651.250711371542,2698.4179262501902,2647.06
2019-10-17,-1926.577200431745,-7770.512168027579,4090.139789355173,2063.8
2019-10-18,140.2408916068713,-5781.547603258555,6132.218930594432,2812.6
2019-10-19,2223.5851594976675,-3724.707387456436,7794.659474059838,4268.83
2019-10-20,-1906.321796382772,-7905.09534436309,3719.29417957192,2292.71
2019-10-21,-2537.046331689565,-8529.011120881487,3022.9645331651664,5988.86
2019-10-22,-2956.8643112551563,-8838.620947145042,2662.660073130008,1602.12
2019-10-23,-2654.454717796417,-8154.819355137056,3240.827616452464,1339.91
2019-10-24,-1328.50181716856,-7405.986407342012,4254.3314986984215,3416.7
2019-10-25,903.9847522343364,-4485.68365554476,6701.15390154618,3057.97
2019-10-26,3167.510321913935,-2577.8832298690336,8781.47712308973,4618.89
2019-10-27,-772.9808528124659,-6527.776323040456,4864.80347774871,1867.07
2019-10-28,-1210.7144395580897,-6961.961862274487,4683.187307703681,1042.27
2019-10-29,-1439.8311547281132,-6806.929254544339,4139.588582471895,1384.24
2019-10-30,-954.8967934877004,-6447.346346641478,5084.637509705888,764.97
2019-10-31,539.6818500380158,-5214.148943805193,5903.838515676112,1578.21
2019-11-01,2921.520194825085,-3129.4751590047576,9198.994789104485,4364.56
2019-11-02,5310.271002262647,61.884838364724224,11748.104500169136,5575.05
2019-11-03,1466.7092354196504,-4949.118283331878,7428.126384993092,3121.92
2019-11-04,1094.2652316499089,-4731.997051757022,6723.013727606556,909.13
